sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,163,93,0,92.78097500000008,12.472918209000056,2020-07-14
2,Andhra Pradesh,29168,15412,328,94.66035907100007,28.03378170600007,2020-07-14
3,Arunachal Pradesh,359,138,2,94.66035907100007,28.03378170600007,2020-07-14
4,Assam,16071,10426,35,92.83014998300007,26.32614343200004,2020-07-14
5,Bihar,16642,11498,143,85.48728000000007,25.151460000000046,2020-07-14
6,Chandigarh,559,417,8,76.78943000000005,30.703410000000076,2020-07-14
7,Chhattisgarh,4059,3153,19,82.04162085900003,21.265149263000072,2020-07-14
8,Dadra and Nagar Haveli and Daman and Diu,479,245,0,73.04955000000007,20.280950000000075,2020-07-14
9,Delhi,112494,89968,3371,77.21689000000003,28.634100000000053,2020-07-14
10,Goa,2453,1487,14,74.05421633500005,15.36257825000007,2020-07-14
11,Gujarat,41820,29162,2045,71.57702797000006,22.69541198300004,2020-07-14
12,Haryana,21240,15983,301,76.34013613300004,29.196461252000066,2020-07-14
13,Himachal Pradesh,1213,929,11,77.25004824800006,31.923656279000053,2020-07-14
14,Jammu and Kashmir,10513,5979,179,76.31064825900006,34.64385349200006,2020-07-14
15,Jharkhand,3756,2308,30,85.55996219500008,23.65396590300003,2020-07-14
16,Karnataka,38843,15409,684,76.17046947600005,14.705918575000055,2020-07-14
17,Kerala,7873,4095,31,76.40890634900006,10.447255621000068,2020-07-14
18,Ladakh,1086,928,1,77.50000000000007,34.50000000000006,2020-07-14
19,Madhya Pradesh,17632,12876,653,78.29754488400005,23.54300217400004,2020-07-14
20,Maharashtra,254427,140325,10289,73.01582000000008,19.03681000000006,2020-07-14
21,Manipur,1609,896,0,93.88394228400006,24.731636637000065,2020-07-14
22,Meghalaya,306,66,2,91.27961257200009,25.536524147000023,2020-07-14
23,Mizoram,231,150,0,92.82891654100008,23.307804220000037,2020-07-14
24,Nagaland,774,327,0,94.47204725100003,26.059339096000034,2020-07-14
25,Odisha,13121,8750,64,85.00127000000003,20.926660000000027,2020-07-14
26,Puducherry,1418,739,18,79.82470000000006,11.92993000000007,2020-07-14
27,Punjab,7821,5392,199,75.41747860200006,30.843241196000065,2020-07-14
28,Rajasthan,24392,18103,510,73.84574452500004,26.58650208200004,2020-07-14
29,Sikkim,153,81,0,88.47595861700006,27.571226435000032,2020-07-14
30,Tamil Nadu,138470,89532,1966,78.40968946100008,11.013249812000025,2020-07-14
31,Telangana,34671,22482,356,79.01145968100008,17.805271101000077,2020-07-14
32,Tripura,2054,1421,2,91.74011046300006,23.74652194700008,2020-07-14
34,Uttar Pradesh,36476,23334,934,80.56369176000005,26.928766610000025,2020-07-14
33,Uttarakhand,3537,2786,47,79.20756426000008,30.15483759900007,2020-07-14
35,West Bengal,30013,18581,932,87.98640559100004,23.797759550000023,2020-07-14
