sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,44,33,0,92.78097500000008,12.472918209000056,2020-06-19
2,Andhra Pradesh,7518,3789,92,79.95790576800005,15.754585607000024,2020-06-19
3,Arunachal Pradesh,103,10,0,94.66035909400006,28.033781652000073,2020-06-19
4,Assam,4777,2654,9,92.83015209500007,26.32614358500007,2020-06-19
5,Bihar,7025,5056,44,85.48728000000007,25.151460000000046,2020-06-19
6,Chandigarh,374,306,6,76.78943000000005,30.703410000000076,2020-06-19
7,Chhattisgarh,1946,1228,10,82.04162083700004,21.265149260000047,2020-06-19
8,Dadra and Nagar Haveli and Daman and Diu,58,13,0,73.04955000000007,20.280950000000075,2020-06-19
9,Delhi,49979,21341,1969,77.21689000000003,28.634100000000053,2020-06-19
10,Goa,705,109,0,74.05421646500008,15.362577927000075,2020-06-19
11,Gujarat,25601,17819,1591,71.57702777600008,22.695412103000027,2020-06-19
12,Haryana,9218,4556,134,76.34013631800008,29.19646195900003,2020-06-19
13,Himachal Pradesh,595,382,8,77.25004871100003,31.923656800000057,2020-06-19
14,Jammu and Kashmir,5555,3144,71,76.31064825900006,34.64385349200006,2020-06-19
15,Jharkhand,1920,1198,11,85.55996217400008,23.65396590300003,2020-06-19
16,Karnataka,7944,4983,114,76.17046946700003,14.705918599000027,2020-06-19
17,Kerala,2794,1415,21,76.40890634100003,10.447255617000053,2020-06-19
18,Ladakh,687,95,1,77.50000000000007,34.50000000000006,2020-06-19
19,Madhya Pradesh,11426,8632,486,78.29754465700006,23.543002144000074,2020-06-19
20,Maharashtra,120504,60838,5751,73.01582000000008,19.03681000000006,2020-06-19
21,Manipur,606,199,0,93.88394228400006,24.731636637000065,2020-06-19
22,Meghalaya,44,30,1,91.27961259500006,25.536524185000076,2020-06-19
23,Mizoram,130,1,0,92.82891654100008,23.307804220000037,2020-06-19
24,Nagaland,193,103,0,94.47204729200008,26.059338800000035,2020-06-19
25,Odisha,4512,3144,11,85.00127000000003,20.926660000000027,2020-06-19
26,Puducherry,271,109,7,79.82470000000006,11.92993000000007,2020-06-19
27,Punjab,3615,2570,83,75.41747895900005,30.843241601000045,2020-06-19
28,Rajasthan,13857,10742,323,73.84574451200007,26.58650209000007,2020-06-19
29,Sikkim,70,5,0,88.47595861700006,27.571226435000032,2020-06-19
30,Tamil Nadu,52334,28641,625,78.40968946000005,11.013249830000065,2020-06-19
31,Telangana,6027,3301,195,79.01145966800004,17.805271108000053,2020-06-19
32,Tripura,1155,639,1,91.74011046400005,23.74652194700008,2020-06-19
34,Uttar Pradesh,15181,9239,465,80.56369184900007,26.92876647400004,2020-06-19
33,Uttarakhand,2102,1386,26,79.20756428100003,30.15483757800007,2020-06-19
35,West Bengal,12735,7001,518,87.98640557800007,23.79775953100005,2020-06-19
