S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,221,163,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,64713,32127,823,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,949,314,3,94.66035907100007,28.03378170600007
4,Assam,26772,18033,64,92.83014998300007,26.326143432000038
5,Bihar,30369,19646,217,85.48728000000006,25.151460000000043
6,Chandigarh,793,526,13,76.78943000000004,30.703410000000076
7,Chhattisgarh,5968,4230,29,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,733,474,2,73.04955000000007,20.280950000000075
9,Delhi,126323,107650,3719,77.21689000000003,28.634100000000046
10,Goa,4176,2541,28,74.05421633500004,15.36257825000007
11,Gujarat,51399,37260,2224,71.57702797000007,22.695411983000042
12,Haryana,28186,21697,372,76.34013613300004,29.196461252000063
13,Himachal Pradesh,1725,1105,11,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,15711,8607,273,76.31064825900006,34.64385349200006
15,Jharkhand,6485,3024,64,85.55996219500008,23.653965903000028
16,Karnataka,75833,27239,1519,76.17046947600005,14.705918575000055
17,Kerala,15032,6162,45,76.40890634900006,10.447255621000068
18,Ladakh,1206,1018,2,77.50000000000006,34.50000000000006
19,Madhya Pradesh,24842,16836,770,78.29754488400005,23.543002174000037
20,Maharashtra,337607,187769,12556,73.01582000000008,19.03681000000006
21,Manipur,2060,1428,0,93.88394228400006,24.731636637000065
22,Meghalaya,514,77,4,91.27961257200008,25.536524147000023
23,Mizoram,317,179,0,92.82891654100007,23.307804220000037
24,Nagaland,1084,486,0,94.47204725100005,26.05933909600003
25,Odisha,19835,13750,108,85.00127000000003,20.926660000000027
26,Puducherry,2300,1369,31,79.82470000000006,11.92993000000007
27,Punjab,11301,7641,269,75.41747860200007,30.843241196000065
28,Rajasthan,32334,23364,583,73.84574452500004,26.586502082000038
29,Sikkim,438,112,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,186492,131583,3144,78.40968946100008,11.013249812000026
31,Telangana,49259,37666,438,79.01145968100008,17.805271101000073
32,Tripura,3449,2032,9,91.74011046300006,23.746521947000076
33,Uttarakhand,5300,3349,57,79.20756426000008,30.154837599000075
34,Uttar Pradesh,55588,33500,1263,80.56369176000004,26.928766610000025
35,West Bengal,49321,29650,1221,87.98640559100005,23.797759550000023
