S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,324,182,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,96298,46301,1041,94.66035907100007,28.03378170600007
3,Arunachal Pradesh,1158,505,3,94.66035907100007,28.03378170600007
4,Assam,32228,24040,79,92.83014998300007,26.326143432000038
5,Bihar,39176,25815,244,85.48728000000006,25.151460000000043
6,Chandigarh,887,572,13,76.78943000000004,30.703410000000076
7,Chhattisgarh,7450,4944,43,82.04162085900003,21.26514926300007
8,Dadra and Nagar Haveli and Daman and Diu,914,550,2,73.04955000000007,20.280950000000075
9,Delhi,130606,114875,3827,77.21689000000003,28.634100000000046
10,Goa,4861,3277,35,74.05421633500004,15.36257825000007
11,Gujarat,55822,40365,2326,71.57702797000007,22.695411983000042
12,Haryana,31332,24384,392,76.34013613300004,29.196461252000063
13,Himachal Pradesh,2176,1198,12,77.25004824800004,31.923656279000056
14,Jammu and Kashmir,17920,9928,312,76.31064825900006,34.64385349200006
15,Jharkhand,8275,3704,85,85.55996219500008,23.653965903000028
16,Karnataka,96141,35838,1878,76.17046947600005,14.705918575000055
17,Kerala,19025,9300,61,76.40890634900006,10.447255621000068
18,Ladakh,1285,1063,4,77.50000000000006,34.50000000000006
19,Madhya Pradesh,27800,19132,811,78.29754488400005,23.543002174000037
20,Maharashtra,375799,213238,13656,73.01582000000008,19.03681000000006
21,Manipur,2235,1554,0,93.88394228400006,24.731636637000065
22,Meghalaya,702,135,5,91.27961257200008,25.536524147000023
23,Mizoram,361,193,0,92.82891654100007,23.307804220000037
24,Nagaland,1339,549,4,94.47204725100005,26.05933909600003
25,Odisha,25389,16793,140,85.00127000000003,20.926660000000027
26,Puducherry,2786,1645,40,79.82470000000006,11.92993000000007
27,Punjab,13218,8810,306,75.41747860200007,30.843241196000065
28,Rajasthan,35909,25353,621,73.84574452500004,26.586502082000038
29,Sikkim,545,148,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,213723,156526,3494,78.40968946100008,11.013249812000026
31,Telangana,54059,41332,463,79.01145968100008,17.805271101000073
32,Tripura,3900,2361,13,91.74011046300006,23.746521947000076
33,Uttarakhand,6104,3566,63,79.20756426000008,30.154837599000075
34,Uttar Pradesh,66988,41641,1426,80.56369176000004,26.928766610000025
35,West Bengal,58718,37751,1372,87.98640559100005,23.797759550000023
