S. No.,Name of State / UT,Total Confirmed cases (Including 49 foreign Nationals),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,83,1,0,94.66035909400006,28.033781652000073
2,Andaman and Nicobar Islands,10,0,0,92.78097500000007,12.472918209000056
3,Bihar,23,0,1,85.48728000000006,25.151460000000043
4,Chandigarh,13,0,0,76.78943000000004,30.703410000000076
5,Chhattisgarh,9,0,0,82.04162083700004,21.265149260000044
6,Delhi,120,6,2,77.21689000000003,28.634100000000046
7,Goa,5,0,0,74.05421646500008,15.362577927000075
8,Gujarat,74,5,6,71.57702777600008,22.695412103000024
9,Haryana,43,21,0,76.34013631800008,29.196461959000032
10,Himachal Pradesh,3,0,1,77.25004871100003,31.92365680000006
11,Jammu and Kashmir,55,2,2,76.31064825900006,34.64385349200006
12,Karnataka,101,8,3,76.17046946700003,14.705918599000029
13,Kerala,241,23,2,76.40890634100003,10.447255617000053
14,Ladakh,13,3,0,77.50000000000006,34.50000000000006
15,Madhya Pradesh,47,0,3,78.29754465700006,23.54300214400007
16,Maharashtra,302,39,9,73.01582000000008,19.03681000000006
17,Manipur,1,0,0,93.88394228400006,24.731636637000065
18,Mizoram,1,0,0,92.82891654100007,23.307804220000037
19,Odisha,4,0,0,85.00127000000003,20.926660000000027
20,Puducherry,1,0,0,79.82470000000006,11.92993000000007
21,Punjab,41,1,3,75.41747895900005,30.843241601000045
22,Rajasthan,93,3,0,73.84574451200007,26.586502090000067
23,Tamil Nadu,124,4,1,78.40968946000004,11.013249830000063
24,Telengana,94,1,3,79.50000000000006,18.000000000000057
25,Uttarakhand,7,2,0,79.20756428100003,30.15483757800007
26,Uttar Pradesh,103,14,0,80.56369184900007,26.928766474000042
27,West Bengal,37,6,3,87.98640577100008,23.79776012600007
