S. No.,Name of State / UT,Total Confirmed cases*,Cured/Discharged/Migrated*,Deaths**,Lon,Lat
1,Andaman and Nicobar Islands,76,45,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,13241,5908,169,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,182,60,1,94.66035909400006,28.033781652000073
4,Assam,7206,5088,10,92.83015209500007,26.326143585000068
5,Bihar,9212,7118,60,85.48728000000006,25.151460000000043
6,Chandigarh,429,336,6,76.78943000000004,30.703410000000076
7,Chhattisgarh,2662,2091,13,82.04162083700004,21.265149260000044
8,Dadra and Nagar Haveli and Daman and Diu,178,60,0,73.04955000000007,20.280950000000075
9,Delhi,83077,52607,2623,77.21689000000003,28.634100000000046
10,Goa,1198,478,3,74.05421646500008,15.362577927000075
11,Gujarat,31320,22800,1808,71.57702777600008,22.695412103000024
12,Haryana,13829,8917,223,76.34013631800008,29.196461959000032
13,Himachal Pradesh,916,529,9,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,7093,4316,94,76.31064825900006,34.64385349200006
15,Jharkhand,2364,1793,12,85.55996217400008,23.653965903000028
16,Karnataka,13190,7507,207,76.17046946700003,14.705918599000029
17,Kerala,4189,2152,22,76.40890634100003,10.447255617000053
18,Ladakh,963,586,1,77.50000000000006,34.50000000000006
19,Madhya Pradesh,13186,10084,557,78.29754465700006,23.54300214400007
20,Maharashtra,164626,86575,7429,73.01582000000008,19.03681000000006
21,Manipur,1185,455,0,93.88394228400006,24.731636637000065
22,Meghalaya,47,42,1,91.27961259500006,25.536524185000076
23,Mizoram,148,55,0,92.82891654100007,23.307804220000037
24,Nagaland,415,164,0,94.47204729200007,26.059338800000035
25,Odisha,6614,4743,21,85.00127000000003,20.926660000000027
26,Puducherry,619,221,10,79.82470000000006,11.92993000000007
27,Punjab,5216,3526,133,75.41747895900005,30.843241601000045
28,Rajasthan,17271,13611,399,73.84574451200007,26.586502090000067
29,Sikkim,88,49,0,88.47595861700006,27.57122643500003
30,Tamil Nadu,82275,45537,1079,78.40968946000004,11.013249830000063
31,Telangana,14419,5172,247,79.01145966800004,17.805271108000056
32,Tripura,1346,1079,1,91.74011046400005,23.746521947000076
33,Uttarakhand,2823,2018,38,79.20756428100003,30.15483757800007
34,Uttar Pradesh,22147,14808,660,80.56369184900007,26.928766474000042
35,West Bengal,17283,11193,639,87.98640557800007,23.797759531000054
