index,category,value
1/22/20,cases,0.0
1/23/20,cases,0.0
1/24/20,cases,0.0
1/25/20,cases,0.0
1/26/20,cases,0.0
1/27/20,cases,0.0
1/28/20,cases,0.0
1/29/20,cases,0.0
1/30/20,cases,1.0
1/31/20,cases,1.0
2/1/20,cases,1.0
2/2/20,cases,2.0
2/3/20,cases,3.0
2/4/20,cases,3.0
2/5/20,cases,3.0
2/6/20,cases,3.0
2/7/20,cases,3.0
2/8/20,cases,3.0
2/9/20,cases,3.0
2/10/20,cases,3.0
2/11/20,cases,3.0
2/12/20,cases,3.0
2/13/20,cases,3.0
2/14/20,cases,3.0
2/15/20,cases,3.0
2/16/20,cases,3.0
2/17/20,cases,3.0
2/18/20,cases,3.0
2/19/20,cases,3.0
2/20/20,cases,3.0
2/21/20,cases,3.0
2/22/20,cases,3.0
2/23/20,cases,3.0
2/24/20,cases,3.0
2/25/20,cases,3.0
2/26/20,cases,3.0
2/27/20,cases,3.0
2/28/20,cases,3.0
2/29/20,cases,3.0
3/1/20,cases,3.0
3/2/20,cases,5.0
3/3/20,cases,5.0
3/4/20,cases,28.0
3/5/20,cases,30.0
3/6/20,cases,31.0
3/7/20,cases,34.0
3/8/20,cases,39.0
3/9/20,cases,43.0
3/10/20,cases,56.0
3/11/20,cases,62.0
3/12/20,cases,73.0
3/13/20,cases,82.0
3/14/20,cases,102.0
3/15/20,cases,113.0
1/22/20,deaths,0.0
1/23/20,deaths,0.0
1/24/20,deaths,0.0
1/25/20,deaths,0.0
1/26/20,deaths,0.0
1/27/20,deaths,0.0
1/28/20,deaths,0.0
1/29/20,deaths,0.0
1/30/20,deaths,0.0
1/31/20,deaths,0.0
2/1/20,deaths,0.0
2/2/20,deaths,0.0
2/3/20,deaths,0.0
2/4/20,deaths,0.0
2/5/20,deaths,0.0
2/6/20,deaths,0.0
2/7/20,deaths,0.0
2/8/20,deaths,0.0
2/9/20,deaths,0.0
2/10/20,deaths,0.0
2/11/20,deaths,0.0
2/12/20,deaths,0.0
2/13/20,deaths,0.0
2/14/20,deaths,0.0
2/15/20,deaths,0.0
2/16/20,deaths,0.0
2/17/20,deaths,0.0
2/18/20,deaths,0.0
2/19/20,deaths,0.0
2/20/20,deaths,0.0
2/21/20,deaths,0.0
2/22/20,deaths,0.0
2/23/20,deaths,0.0
2/24/20,deaths,0.0
2/25/20,deaths,0.0
2/26/20,deaths,0.0
2/27/20,deaths,0.0
2/28/20,deaths,0.0
2/29/20,deaths,0.0
3/1/20,deaths,0.0
3/2/20,deaths,0.0
3/3/20,deaths,0.0
3/4/20,deaths,0.0
3/5/20,deaths,0.0
3/6/20,deaths,0.0
3/7/20,deaths,0.0
3/8/20,deaths,0.0
3/9/20,deaths,0.0
3/10/20,deaths,0.0
3/11/20,deaths,1.0
3/12/20,deaths,1.0
3/13/20,deaths,2.0
3/14/20,deaths,2.0
3/15/20,deaths,2.0
1/22/20,recoveries,0.0
1/23/20,recoveries,0.0
1/24/20,recoveries,0.0
1/25/20,recoveries,0.0
1/26/20,recoveries,0.0
1/27/20,recoveries,0.0
1/28/20,recoveries,0.0
1/29/20,recoveries,0.0
1/30/20,recoveries,0.0
1/31/20,recoveries,0.0
2/1/20,recoveries,0.0
2/2/20,recoveries,0.0
2/3/20,recoveries,0.0
2/4/20,recoveries,0.0
2/5/20,recoveries,0.0
2/6/20,recoveries,0.0
2/7/20,recoveries,0.0
2/8/20,recoveries,0.0
2/9/20,recoveries,0.0
2/10/20,recoveries,0.0
2/11/20,recoveries,0.0
2/12/20,recoveries,0.0
2/13/20,recoveries,0.0
2/14/20,recoveries,0.0
2/15/20,recoveries,0.0
2/16/20,recoveries,3.0
2/17/20,recoveries,3.0
2/18/20,recoveries,3.0
2/19/20,recoveries,3.0
2/20/20,recoveries,3.0
2/21/20,recoveries,3.0
2/22/20,recoveries,3.0
2/23/20,recoveries,3.0
2/24/20,recoveries,3.0
2/25/20,recoveries,3.0
2/26/20,recoveries,3.0
2/27/20,recoveries,3.0
2/28/20,recoveries,3.0
2/29/20,recoveries,3.0
3/1/20,recoveries,3.0
3/2/20,recoveries,3.0
3/3/20,recoveries,3.0
3/4/20,recoveries,3.0
3/5/20,recoveries,3.0
3/6/20,recoveries,3.0
3/7/20,recoveries,3.0
3/8/20,recoveries,3.0
3/9/20,recoveries,3.0
3/10/20,recoveries,4.0
3/11/20,recoveries,4.0
3/12/20,recoveries,4.0
3/13/20,recoveries,4.0
3/14/20,recoveries,4.0
3/15/20,recoveries,4.0
